title,date,comment_count,content_size
"Кончаловский о фильме 'На Луне', мажорах и конфликтах в казахстанском кинематографе","сегодня, 09:05",,4854
"'Вчера все покупали тюльпаны, а надо было доллары'","сегодня, 08:37",7,2340
Меры по коронавирусу в нашей стране сильно напоминают показуху,"08 марта 2020, 11:58",48,4972
Почему заниматься переработкой выгодно и когда в стране исчезнет весь мусор,"05 марта 2020, 11:00",16,11963
"От них уходят мужья, к более домашним - о женщинах в медицине","04 марта 2020, 10:49",20,4895
"'Сегодня тебя любят, завтра камнями закидают'. Альмира Турсын - о роли коучинга в ее жизни","04 марта 2020, 08:59",38,11582
"Нариман Мукушев: Мы социальное министерство, и обратная связь для нас очень важна","03 марта 2020, 09:58",5,5614
'Мы наблюдаем рост казахоязычного контента'. Зачем 'ВКонтакте' пришла в Казахстан,"02 марта 2020, 09:39",11,2509
'Получу прибыль и выйду'.  Как не стать жертвой финансовой пирамиды,"28 февраля 2020, 09:11",8,7314
Почему казахстанцы не спешат идти в ЗАГС,"27 февраля 2020, 08:34",59,5067
"Кодекс о том, как работать медикам, а казахстанцам жить в здравии","25 февраля 2020, 18:16",5,1654
Педагог мәртебесін педагог өзі көтереді,"25 февраля 2020, 14:42",1,7703
"'Не запрещено, но и не разрешено'. Почему казахстанцы выбирают дистанционное школьное образование?","25 февраля 2020, 08:30",11,10838
"Должно ли милосердие выпячиваться, рекламироваться?","24 февраля 2020, 17:08",16,698
Қазақ отбасына келін болып түскен қар тазалаушы неге жылағысы келеді?,"24 февраля 2020, 10:55",19,4131
Волнения в Зайсане и 2 миллиарда на коронавирус. Мы позвонили Биртанову,"22 февраля 2020, 12:12",45,9079
Что считалось в степи признаком 'неописуенной' красоты? Ни за что не угадаете,"21 февраля 2020, 14:39",29,11808
"'Прогулял школу, спустил деньги на автоматах'. Чем опасна игровая зависимость у детей?","21 февраля 2020, 08:21",13,10836
Моя пенсия вышла чуть больше 73 тысяч тенге. Грустно и обидно,"19 февраля 2020, 14:56",45,3629
"'Пригласили работать няней, а стала проституткой'. Как живут рабы в Казахстане","19 февраля 2020, 08:43",,6974
День рождения Абая предложили сделать государственным праздником в Казахстане,"18 февраля 2020, 10:07",55,7487
"'Друг, племянник, зять, брат, дочь друга' - о системе 'агашек'","17 февраля 2020, 13:22",19,3216
'Ы-иииии!'. Как говорят казахские животные,"14 февраля 2020, 14:29",12,6713
"'Я думала, это затянувшаяся простуда'. Как в Казахстане бесплатно лечат гепатит С","14 февраля 2020, 08:33",25,20626
О первой женщине страны,"12 февраля 2020, 14:20",8,1646
"'Государство никогда так не беспокоилось о моем здоровье, как после возвращения из Китая'","11 февраля 2020, 14:25",9,5945
"Про Кордай и все, что с ним связано","10 февраля 2020, 12:05",80,9625
Каких животных казахи не использовали в хозяйстве. Об обычае бәсіре,"07 февраля 2020, 15:34",9,8228
Всходит солнце над времянкой. Год назад в столице Казахстана погибли пять сестер,"04 февраля 2020, 14:16",18,5913
Почему у казахов не было тюрем? Мнение юриста,"03 февраля 2020, 18:52",13,16948
"В Нур-Султане живет охранник Михаил, который всем напоминает Галустяна","31 января 2020, 11:01",60,6741
"Как спастись от коронавируса? ​Мужики, поговорите со своими женами","30 января 2020, 18:46",27,9550
У казахов была добрая традиция - 'ерулік'.  С чем ее можно сравнить?,"30 января 2020, 15:10",14,10771
Бедные казахстанцы большую часть своих денег тратят на газировку - исследование,"29 января 2020, 20:10",70,8087
"Их нельзя сравнивать, но очень хочется: Алматы и Нур-Султан","28 января 2020, 09:00",70,11023
Два добрых дела в одном пакете,"27 января 2020, 10:00",25,10154
"В снегопад сплю по 2 часа. Заместитель акима Нур-Султана о свадьбе, Instagram и окраинах столицы","25 января 2020, 15:24",121,5656
"Ашимжан Ахметов: гражданин, личность","25 января 2020, 08:24",7,10978
Парадокс доктора Рафальского,"24 января 2020, 09:03",5,9092
Самый казахский японец. Профессор из Токио изучает странствия казахских батыров,"23 января 2020, 14:45",,4809
"В степи было заведено помогать бедным, звать их в гости 'на перекус'","22 января 2020, 12:07",9,8846
У Казахстана есть Надежда. Живет она на окраине столицы,"21 января 2020, 18:55",31,7280
'Я ваш калькулятор'. Второклассница из Нур-Султана любит покер и решает задачи за 5 класс,"16 января 2020, 19:28",19,5617
Зачем казахстанцев напугали подорожанием жилья? Эксперты рассказали о рынке недвижимости,"16 января 2020, 10:46",29,4395
'Вместе с гостем в дом приходит благодать'. Как казахи гостей принимали,"15 января 2020, 13:26",5,12305
"Самый японский казах. Родился в Синьцзяне, добился успехов в Токио, мечтает о Казахстане","15 января 2020, 11:51",63,7676
Электроэнергетика Казахстана готовится к большому прыжку,"14 января 2020, 16:00",18,9866
"'Меган Маркл смогла съехать от енешки, и ты сможешь'","13 января 2020, 18:01",18,2662
Трехлетнего ребенка в садике учат мыть пол. Казахский ученый о жизни в Японии,"10 января 2020, 17:01",48,8361
Вся экстренная медпомощь оказывается бесплатно. Репортаж из больниц Нур-Султана,"10 января 2020, 10:00",6,5339
'Гульдала заканчивается - город начинается'. Как живет поселок у взлетной полосы,"10 января 2020, 08:27",22,9514
Малыш впал в кому после инъекции... Виноваты мы все,"09 января 2020, 19:11",20,2155
"Для казахов особенное значение имеют цифры 2, 3, 4, 7 и 9. Почему именно они?","08 января 2020, 13:57",10,11106
"Их нельзя сравнивать, но очень хочется: туалеты в Казахстане и Японии","05 января 2020, 14:44",96,4137
Чем казахам вторник не угодил?,"05 января 2020, 12:10",11,15135
Чем гордится и о чем жалеет юный певец? Ержан Максим об итогах 2019 года,"31 декабря 2019, 11:11",13,1002
'Не надо путать свой карман с государственным'. Большое интервью с Бердибеком Сапарбаевым,"31 декабря 2019, 07:45",132,14920
Манкуртизм как метафора эпохи,"31 декабря 2019, 07:09",31,19965
Отходы превращаются в миллионы на предприятии 'Экошина',"30 декабря 2019, 19:00",1,9390
У Инжу теперь свой домик. Вы следили за их судьбой весь год,"30 декабря 2019, 13:24",,8743
"Кто хвалит тебя, будет хвалить и другого. 5 советов молодым начальникам","30 декабря 2019, 11:18",8,1701
"Самое большое впечатление после авиакатастрофы - люди. Наши люди, алматинцы","29 декабря 2019, 11:47",21,1985
"Врачи - злодеи, продающие органы? Об истерии по кодексу","25 декабря 2019, 17:36",17,7021
7 лет со дня крушения Ан-72. Сын погибшего главы Погранслужбы рассказал свою версию,"25 декабря 2019, 09:32",56,4038
"В Новый год без долгов? Пошаговая инструкция, как закрыть кредиты","24 декабря 2019, 08:35",40,7361
Врач рассказала о современных методах лечения ВИЧ в Казахстане,"23 декабря 2019, 11:54",2,12475
Это его вечеринка. Житель Павлодара устраивает удивительные посиделки,"20 декабря 2019, 13:00",25,6665
Как у министра 'девятка' всплыла. Интервью с Аскаром Жумагалиевым,"20 декабря 2019, 08:08",15,13150
Как найти себя в системе медстрахования?,"18 декабря 2019, 18:30",13,4310
