Wash your car,0.15,busywork,1,0.05,,1017771
Learn how to make a website,0.3,recreational,1,0.1,,9924423
Rearrange and organize your room,0.15,relaxation,1,0,,6197243
Make a scrapbook with pictures of your favorite memories,0.1,diy,1,0.1,,5554174
Read a formal research paper on an interesting subject,0.1,recreational,1,0,,3352474
Go to a local thrift shop,0.2,recreational,1,0.1,,8503795
Learn how to make an Alexa skill,0.1,busywork,1,0,,1592381
Create and follow a savings plan,0.2,recreational,1,0,,9366464
Make a new friend,0,social,1,0,,1000000
Learn to write with your nondominant hand,0.02,busywork,1,0,,1645485
Play basketball with a group of friends,0.7,recreational,5,0,,8683473
Take a bubble bath,0.1,relaxation,1,0.15,,2581372
Rearrange and organize your room,0.15,relaxation,1,0,,6197243
Go to a karaoke bar with some friends,0.35,social,4,0.5,,9072906
Learn GraphQL,0.8,education,1,0,,2167064
Learn Javascript,0.9,education,1,0,,3469378
Make a to-do list for your week,0.05,relaxation,1,0,,1668223
Explore the nightlife of your city,0.32,social,1,0.1,,2237769
Binge watch a trending series,0.2,recreational,1,0.2,,5881647
Start a collection,0.5,recreational,1,0,,1718657
Make a new friend,0,social,1,0,,1000000
Write a thank you letter to an influential person in your life,0.1,recreational,1,0,,4101229
Make origami,0.6,diy,1,0.2,,9266212
Make a scrapbook with pictures of your favorite memories,0.1,diy,1,0.1,,5554174
Learn a new recipe,0.05,cooking,1,0,,6553978
Create or update your resume,0.1,busywork,1,0,,9364041
Text a friend you haven't talked to in a long time,0.2,social,2,0.05,,6081071
Take your cat on a walk,0.1,relaxation,1,0.02,,5940465
Fix something that's broken in your house,0.3,diy,1,0.1,,6925988
Come up with some business ideas,1,recreational,1,0,,8570429
Go to a concert with local artists with some friends,0.3,social,3,0.4,,2211716
Learn how to make a website,0.3,recreational,1,0.1,,9924423
Start a daily journal,0,relaxation,1,0,,8779876
Take a hike at a local park,0.1,recreational,1,0,,8724324
Take a caffeine nap,0.08,relaxation,1,0.1,,5092652
Go see a movie in theaters with a few friends,0.3,social,4,0.2,,5262759
Learn about the Golden Ratio,0.2,education,1,0.1,https://en.wikipedia.org/wiki/Golden_ratio,2095681
Volunteer at your local food shelter,0.1,charity,1,0,,2055368
Have a picnic with some friends,0.1,recreational,3,0.1,,6813070
Go to an escape room,0.3,social,4,0.5,,5585829
Pick up litter around your favorite park,0.05,charity,1,0,,4894697
Resolve a problem you've been putting off,0,busywork,1,0,,9999999
Make a simple musical instrument,0.25,recreational,1,0.4,,7091374
Pick up litter around your favorite park,0.05,charity,1,0,,4894697
Go to a local thrift shop,0.2,recreational,1,0.1,,8503795
Repaint a room in your house,0.4,recreational,1,0.3,,4877086
Learn how to play a new sport,0.2,recreational,1,0.1,,5808228
Research a topic you're interested in,0.9,education,1,0,,3561421
Visit your past teachers,0.7,social,1,0,,8238918
Have a paper airplane contest with some friends,0.05,social,4,0.02,,8557562
Learn calligraphy,0.1,education,1,0.1,,4565537
Go to the gym,0.1,recreational,1,0.2,,4387026
Find a DIY to do,0.3,diy,1,0.4,,4981819
Play a game of tennis with a friend,0.4,recreational,2,0.1,,1093640
Learn how to use an Arduino,0.7,education,1,0.1,,8264223
Go to an escape room,0.3,social,4,0.5,,5585829
Create and follow a savings plan,0.2,recreational,1,0,,9366464
Volunteer at your local food shelter,0.1,charity,1,0,,2055368
Watch a movie you'd never usually watch,0.15,relaxation,1,0.15,,9212950
Start a daily journal,0,relaxation,1,0,,8779876
Go see a Broadway production,0.3,recreational,4,0.8,,4448913
Try a food you don't like,0.05,recreational,1,0.1,,6693574
Go to the gym,0.1,recreational,1,0.2,,4387026
Write a short story,0.1,recreational,1,0,,6301585
Learn about the Golden Ratio,0.2,education,1,0.1,https://en.wikipedia.org/wiki/Golden_ratio,2095681
